graph G { 
A1_M1
A1_M5
A2_M1
A2_M2
A2_M5
A2_M6
A3_M1
A3_M3
A3_M5
A3_M8
A4_M4
A4_M6
A4_M7
A4_M9
A5_M2
A5_M7
A5_M9
A6_M9
A7_M3
A7_M8
A8_M3
A8_M8
A9_M8
A10_M4

A1_M5 -- A1_M1  [style = bold, color = red]
A2_M6 -- A2_M1  [style = bold, color = red]
A2_M6 -- A2_M2  [style = bold, color = red]
A2_M6 -- A2_M5  [style = bold, color = red]
A2_M5 -- A2_M1  [style = bold, color = red]
A2_M5 -- A2_M2  [style = bold, color = red]
A2_M2 -- A2_M1  [style = bold, color = red]
A3_M8 -- A3_M1  [style = bold, color = red]
A3_M8 -- A3_M3  [style = bold, color = red]
A3_M8 -- A3_M5  [style = bold, color = red]
A3_M5 -- A3_M1  [style = bold, color = red]
A3_M5 -- A3_M3  [style = bold, color = red]
A3_M3 -- A3_M1  [style = bold, color = red]
A4_M9 -- A4_M4  [style = bold, color = red]
A4_M9 -- A4_M6  [style = bold, color = red]
A4_M9 -- A4_M7  [style = bold, color = red]
A4_M7 -- A4_M4  [style = bold, color = red]
A4_M7 -- A4_M6  [style = bold, color = red]
A4_M6 -- A4_M4  [style = bold, color = red]
A5_M9 -- A5_M2  [style = bold, color = red]
A5_M9 -- A5_M7  [style = bold, color = red]
A5_M7 -- A5_M2  [style = bold, color = red]
A7_M8 -- A7_M3  [style = bold, color = red]
A8_M8 -- A8_M3  [style = bold, color = red]
A3_M1 -- A1_M1  [style = bold, color = darkgreen]
A3_M1 -- A2_M1  [style = bold, color = darkgreen]
A2_M1 -- A1_M1  [style = bold, color = darkgreen]
A3_M5 -- A1_M5  [style = bold, color = darkgreen]
A3_M5 -- A2_M5  [style = bold, color = darkgreen]
A2_M5 -- A1_M5  [style = bold, color = darkgreen]
A5_M2 -- A2_M2  [style = bold, color = darkgreen]
A4_M6 -- A2_M6  [style = bold, color = darkgreen]
A8_M3 -- A3_M3  [style = bold, color = darkgreen]
A8_M3 -- A7_M3  [style = bold, color = darkgreen]
A7_M3 -- A3_M3  [style = bold, color = darkgreen]
A9_M8 -- A3_M8  [style = bold, color = darkgreen]
A9_M8 -- A7_M8  [style = bold, color = darkgreen]
A9_M8 -- A8_M8  [style = bold, color = darkgreen]
A8_M8 -- A3_M8  [style = bold, color = darkgreen]
A8_M8 -- A7_M8  [style = bold, color = darkgreen]
A7_M8 -- A3_M8  [style = bold, color = darkgreen]
A10_M4 -- A4_M4  [style = bold, color = darkgreen]
A5_M7 -- A4_M7  [style = bold, color = darkgreen]
A6_M9 -- A4_M9  [style = bold, color = darkgreen]
A6_M9 -- A5_M9  [style = bold, color = darkgreen]
A5_M9 -- A4_M9  [style = bold, color = darkgreen]
}
